objectid,title,creator,contributor,recipedate,genre,description,subject,ingredient,directions,language,filetype,filename,filesize,format,measurement,scandate,uploaddate,rights,rightsstatement
famrecipe001,Vintage Cinnamon Rolls,"O'Leary, Betty","O'Leary-Volk, Lisa",1996,Breads,"This object is a recipe that was created by Betty O'Leary when she work for Orion High School in Orion, Illinois as a cafeteria worker. The recipe was later modified by Lisa O'Leary-Volk, who wrote the current recipe on the object. The original recipe was damaged after years of use.","United States--Social life and customs--Miscellanea.; Formulas, recipes, etc.--History.; Comfort food--Recipes.",1/2c Warm Water; 2 Packets of Dry Quick Yeast; 1 1/2c Scalded Milk; 1/2c Sugar; 1tsp Salt; 2 Eggs (Slightly Beaten); 1/2c Crisco; 4c Flour; 4tbsp Melted Butter; 3/4c Brown Sugar; 2tsp Cinnamon; 1c Powdered Sugar; 1c Powdered Sugar; 1tbsp Milk;  1/2tsp Vanilla,"Dissolve yeast in warm water, cool milk to lukewarm, and add to the yeast water.; Add all other ingrediets to the liquid and mix until you can handle dought (dough should not be stiff).; Place dough in oiled bowl and cover with a damp cloth to rise and double in size. Preheat oven to 375 degrees.; Punch the dough down and roll out on floured surface. Brush with melted butter, and sprinkle brown sugar and cinnamon mixture on rolled out dough.; Pull dough tight and work into a roll (roll out in half) place both halves on cookie sheet (cover and let rise until doubled).; Once risen, cut rolls in desired thickness, approximately three inches.; Place on cookie sheets and bake at 370 degrees for 20-25 minutes. Frost while warm with the powdered sugar, milk, and vanilla.",eng,PDF,001_Breads_CinnamonRolls.pdf,561 KB,application/pdf,"6x4""",2025-04-14,2025-04-30,In Copyright,"This object is protected by copyright and/or related rights. You are free to use this object in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s)."
famrecipe002,Mrs. Fields Chocolate Chip Cookies,"Parish, Sophia","Volk, Aaron",1987,Desserts,"This object is a recipe that was created based on Sophie Parish's memory of an original Mrs. Fields, Inc. recipe. The Mrs. Fields cookie recipe has changed several times, but this is based on one of the original recipes. The original recipe from Sophie was rewritten by Aaron Volk.","United States--Social life and customs--Miscellanea.; Formulas, recipes, etc.--History.; Comfort food--Recipes.","3/4c Softened, Unsalted Butter; 1/2c Granulated Sugar; 1 1/2c Packed Brown Sugar; 2 Eggs; 2 1/2tsp Vanilla; 2 1/2c All-purpose Sugar; 3/4tsp Salt; 1tsp Baking Soda; 1tsp Baking Powder; 1 1/2 Semisweet Chocolate Chips (12oz. bag)","Preheat oven to 350 degrees.; Cream butter, sugar, eggs, and vanilla.; Combine flour, salt, baking powder, and baking soda.; Combine wet and dry ingredients.; Stir in chocolate chips.; Place golf-ball sized dough dollops two inches apart on an ungreased cookie sheet.; Bake 9-11 minutes or until edges are light brown.",eng,PDF,002_Desserts_ChocChipCookies.pdf,633 KB,application/pdf,"6x4""",2025-04-14,2025-04-30,In Copyright,"This object is protected by copyright and/or related rights. You are free to use this object in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s)."
famrecipe003,Waldorf Dessert Salad,"Parish, Sophia","Rochford-Volk, Jake",1964,Desserts,This object is a recipe from Sophie Parish but was rewritten by Jake Rochford-Volk since the original was damaged. The Waldorf Salad is a Midwester desert-style salad that is commonly consumed during the holidays.,"United States--Social life and customs--Miscellanea.; Formulas, recipes, etc.--History.; Comfort food--Recipes.",4 Eggs (beaten); 2/3c Lemon Juice; 2/3c Sugar; 10tbsp Butter; 10oz Mini Marshmallows; 4c Diced Pineapple; 4c Red Grapes (sliced in half); 2c Whipping Cream; 1c Chopped Walnuts,"Beat eggs in a large pot.; Add sugar and lemon juice. heat until thick and smooth.; Remove from heat and add butter and marshmallows.; When cooled, fold in pineapple, grapes, and walnuts.; Add whipping cream and refrigerate for 24 hours.",eng,PDF,003_Desserts_WaldorfSalad.pdf,284 KB,application/pdf,"6x4""",2025-04-14,2025-04-30,In Copyright,"This object is protected by copyright and/or related rights. You are free to use this object in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s)."
famrecipe004,Chocolate Chip Scones,"Rochford-Volk, Jake","Rochford-Volk, Nolan",2023,Breads,"This object is a recipe from Jake Rochford-Volk woho experiemented with creating scones based on a few different bread recipes. The text of this recipe was written by Nolan Rochford-Volk based on the original, which was damaged after excessive rewrites while perfecting the recipe.","United States--Social life and customs--Miscellanea.; Formulas, recipes, etc.--History.; Comfort food--Recipes.","3c All-purpose Flour; 1/2c Granulated Sugar; 1/2c Lightly Packed Brown Sugar; 1 1/8tsp Fine Sea Salt; 1tbsp Baking Powder; 1tsp Baking Soda; 1 10oz Bag of Mini Semi-sweek Chocolate Chips; 1 1/2 Sticks, Unsalted Butter (cold and cubed); 1c Buttermilk (cold); 2 Eggs; 2tsp Vanilla; Coarse Sugar for Topping","Preheat oven to 400 degrees. In a large bowl, combine flour, sugars, salt, baking powder, baking soda, and chocolate chips. Add the butter and cut with a fork until butter is pea-sized.; In a separate bowl, whisk together the buttermilk, 1 egg, and vanilla extract.; Make a well in the middle of the dry mix and liquid mix.; Mix until combined, but don't overmix.; Transfer dough to a floured surface. Shape into rectangle. Fold in half like a piece of paper. Flatten into a rectagle. Fold in half again but in the opposite direction. Gently press dought into a 1 1/2 inch tall round.; Divide into two equal parts.; Cut each part into six wedges and place two-inches apart. If dough is warm, freeze for 10-20 minutes.; In a small bowl, combine 1 egg with 1tsp water. Brush over scones and sprinkle with sugar.; Bake for 18-20 minutes or unitl lightly browned. Allow to sit for 30-60 minutes before serving. Store in an airtight container for up to three days.",eng,PDF,004_Breads_Scones.pdf,535 KB,application/pdf,"6x4""",2025-04-14,2025-04-30,In Copyright,"This object is protected by copyright and/or related rights. You are free to use this object in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s)."
famrecipe005,Vintage Sugar Cookies,"Parish, Sophia","Rochford-Volk, Nolan",1968,Desserts,This object is a recipe from Sophie Parish is based on a vintage baking practice of souring cream using vinegar and baking soda. This practice is uncommon today as most bakers use prepackaged sour cream. This recipe was rewritten by Nolan Rochford-Volk.,"United States--Social life and customs--Miscellanea.; Formulas, recipes, etc.--History.; Comfort food--Recipes.",2c Sugar; 3c Flour; 1/2c Butter; 1tsp Baking Powder; 3 Eggs; 1tsp Vanilla Extract; 1/2c Whipping Cream; 1tbsp Vinegar; 2tsp Baking Soda,"Preheat oven to 350 degrees. Melt butter and combine with sugar until smooth.; Add baking powder, eggs, and vanilla. mix until smooth.; Add baking powder, eggs, and vanilla. mix until smooth.; Combine both mixtures and add 1c flour slowly until all ingredients form a dough.; Refridgerate for 20 minutes (30 minutes at the most).; Roll dough out cold with flour and ensure dought remains wet but not sticky.; Bake for 8-9 minutes.",eng,PDF,005_Desserts_SugarCookies.pdf,330 KB,application/pdf,"6x4""",2025-04-14,2025-04-30,In Copyright,"This object is protected by copyright and/or related rights. You are free to use this object in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s)."
famrecipe006,Irish Brown Bread Loaf,"O'Leary-Volk, Lisa","Rochford-Volk, Jake",2017,Breads,"This object draws on unknown origins and was created by Lisa O'Leary-Volk based on traditional Irish brown bread, which was a common lunch item. The recipe was rewritten by Jake Rochford-Volk.","United States--Social life and customs--Miscellanea.; Formulas, recipes, etc.--History.; Comfort food--Recipes.",1c All-purpose Flour; 2tbsp Sugar; 1tsp Baking Powder; 1tsp Baking Soda; 1/2tsp Salt; 1 1/2tbsp Cold Butter; 2c Whole-wheat Flour; 1/4c Rolled Oats; 1/4c Rolled Oats; 1 1/2c Plain Nonfat Yogurt; Milk,"Preheat oven to 375 degrees. Mix flour, sugar, baking powder, baking soda, salt, and rolled ouats until blended.; Add the cold butter into small cubes.; Slowly add the yogurt and whole-wheat flour until the dough holds together. It shouldn't be sticky.; If needed, add milk until the dough holds together.; Knead dough over a lightly floured counter. Cut an X into the top. Bake for 40 minutes or until browned.",eng,PDF,006_Breads_BrownBread.pdf,323 KB,application/pdf,"6x4""",2025-04-14,2025-04-30,In Copyright,"This object is protected by copyright and/or related rights. You are free to use this object in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s)."
famrecipe007,Corn Casserole,"Rochford, Molly","Rochford-Volk, Jake",2012,Sides,"This object is a recipe by Molly Rochford but has been rewritten and modified by Jake Rochford-Volk to include more spices. Corn casserole can be treated as the main meal, but functions better as a side dish.","United States--Social life and customs--Miscellanea.; Formulas, recipes, etc.--History.; Comfort food--Recipes.",1pkg Corn Muffin Mix; 1 Can Cream Corn; 1 Can Whole Kernel Corn; 1/2tsp Coriander; 1/2tsp rosemary; 1 Egg; 1c Sour Cream; 1 Stick Butter,Preheat oven to 350 degrees.; Mix all ingredients together.; Bake for 35-45 minutes.,eng,PDF,007_Sides_CornCasserole.pdf,212 KB,application/pdf,"6x4""",2025-04-14,2025-04-30,In Copyright,"This object is protected by copyright and/or related rights. You are free to use this object in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s)."
famrecipe008,Stuffed Shells Pasta,"Rochford-Volk, Jake",,2023,Dinner,"This object is a recipe by Jake Rochford-Volk and written by Nolan Rochford-Volk. The idea is based on lasagna,  but with the layers of lasagna being filled into pasta shells instead of into layers of a lasagna.","United States--Social life and customs--Miscellanea.; Formulas, recipes, etc.--History.; Comfort food--Recipes.",16 Jumbo Pasta Shells (prepare extra in case of breakage); 1 1/2tbsp Olive Oil; 2tsp Minced Garlic; 4c (packed) Spinach Leaves (roughly chopped); 12oz Skim-milk Ricotta Cheese; 1c Shredded Mazzarella Cheese; 1/2c Grated Parmesan (more for serving); 1 Large Egg; 1tbsp Fresh Basil (finely chopped); 1tsp Kosher Salt; 1/2tsp Black Pepper; 1 1/4c Marinara Sauce,"Preheat oven to 375 degrees. Cook pasta al dente, according to package directions (7-8 minutes).; Beat the olive oil in a large skillet over medium-high heat. When oil is simmering, add garlic and cook until brown. Add spinach and cook until spinach begins to wilt but is still bright green. Remove from heat and let cool.; In a mixing bowl, stir together spinach, ricotta, mazzarella, parmesan, egg, basil, salt, and pepper until thoroughly combined.; Pour 1/2c of marinara sauce into the bottom of a shallow 8x8 inch baking dish. Stuff each shell with a generous amount of spinach and ricotta mixture. Place in the baking dish.; Cover with remaining sauce and bake covered with aluminum foil for 25 minutes.; Remove the foil and bak until the top begins browning and the suace beings bubbling (another 10-15 minutes).; Serve warm with a dusting of parmesan.",eng,PDF,008_Dinner_SuffedShells.pdf,537 KB,application/pdf,"6x4""",2025-04-14,2025-04-30,In Copyright,"This object is protected by copyright and/or related rights. You are free to use this object in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s)."
famrecipe009,Spicey Meatloaf,"O'Leary-Volk, Lisa",,2015,Dinner,This object is a recipe by Lisa O'Leary-Volk and is suitable for beef or venison. The recipe was rewritten and modified by Jake Rochford-Volk who added additional seasonings.,"United States--Social life and customs--Miscellanea.; Formulas, recipes, etc.--History.; Comfort food--Recipes.",1lb Ground Beef or Venison; 1/2c Italian Breakcrumbs; 1 Egg; 5oz Crushed Chipotle; 1/2c Onion (diced); 1tsp Salt; 1/2tsp Ground Cumin; 1tsp Italian Seasoning; 1/4c Ketchup; 1tbsp Brown Sugar; 1/8tsp Salt,"Preheat oven to 350 degrees and spray pan with non-stick spray.; Combine all ingredients and take for one hour.; Brush the top of the loaves with glaze (ketchup, sugar, and salt) and bake for another 15 minutes.",eng,PDF,009_Dinner_Meatloaf.pdf,250 KB,application/pdf,"6x4""",2025-04-14,2025-04-30,In Copyright,
famrecipe010,Crockpot Meatballs,"Brown, Mary Pat","O'Leary-Volk, Lisa",2008,Sides,"This object is a recipe from Mary Pat Brown, rewritten by Lisa O'Leary-Volk, and modified to include grape as the specific jelly.","United States--Social life and customs--Miscellanea.; Formulas, recipes, etc.--History.; Comfort food--Recipes.",5lb Bag of Meatballs; 30oz Grape Jelly; 36oz Chilli Sauce,"In a suace pan, ""melt"" the jelly.; Add all ingredients together in a crock pot; heat on low heat for two hours (increase heat if needed).; When cooking 2 1/2lbs of meatballs, use 20oz jelly and 24oz chilli sauce.",eng,PDF,010_Sides_Meatballs.pdf,365 KB,application/pdf,"6x4""",2025-04-14,2025-04-30,In Copyright,"This object is protected by copyright and/or related rights. You are free to use this object in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s)."
